,navn,addresse,Org_nr,Sektor,godkjenning
167,Asko Oppland AS,"Postboks 43 , 2907 LEIRA I VALDRES",Org. nr. 971 059 435,"Foredling, import og omsetning",Gyldig fra 10.05.2020 til 30.12.2021
168,Asko Øst AS,"Postboks 164 , 1541 VESTBY",Org. nr. 912 015 238,"Foredling, import og omsetning",Gyldig fra 07.05.2020 til 30.12.2021
169,Asko Rogaland AS,"Skurvemarka 21 , 4330 ÅLGÅRD",Org. nr. 923 622 845,"Foredling, import og omsetning",Gyldig fra 25.05.2020 til 30.12.2021
170,Asko Sentrallager AS,"Postboks 164 , 1541 VESTBY",Org. nr. 992 684 666,"Foredling, import og omsetning",Gyldig fra 11.05.2020 til 30.12.2021
171,Asko Sentrallager Kjøl AS,"PB 164 , 1540 VESTBY",Org. nr. 915 138 357,"Foredling, import og omsetning",Gyldig fra 27.08.2020 til 30.12.2021
172,Asko Vest AS,"Postboks 270 Indre Arna , 5888 BERGEN",Org. nr. 979 487 916,"Foredling, import og omsetning",Gyldig fra 27.08.2020 til 30.12.2021
173,ASKO Vestfold - Telemark AS,"Postboks 2111 Stubberød , 3255 LARVIK",Org. nr. 933 129 950,"Foredling, import og omsetning",Gyldig fra 25.05.2020 til 30.12.2021
174,Åsprong drift v/ Astrid Merete Bye,"Meisingsetvegen 814 , 6628 MEISINGSET",Org. nr. 986 453 008,"Foredling, import og omsetning",Gyldig fra 10.05.2020 til 30.12.2021
175,Athammer Vidar Lågøy,"Lågøy , 6924 HARDBAKKE",Org. nr. 969 823 306,Økologisk landbruksproduksjon,Gyldig fra 06.09.2020 til 30.12.2021
176,"Au Naturel UK Inc, Norway","Kjelsåsveien 168 A , 0884 OSLO",Org. nr. 991 061 312,"Foredling, import og omsetning",Gyldig fra 09.02.2020 til 30.12.2021
178,Augustin Hotel,"C.Sundtsgt. 22 , 5004 BERGEN",Org. nr. 976 576 926,Servering av økologisk mat og drikke,Gyldig fra 07.10.2020 til 30.12.2021
179,Aukrust Gard og Urteri Ola Aukrust,"Solsidevegen 449 , 2686 LOM",Org. nr. 969 193 590,"Foredling, import og omsetning",Gyldig fra 07.10.2020 til 30.12.2021
180,Aukrust Kari Osmoen,"Rørosvn. 3662 , 2550 OS I ØSTERDALEN",Org. nr. 969 173 360,Økologisk landbruksproduksjon,Gyldig fra 19.11.2020 til 30.12.2021
181,Aulihonning Johnny Derås,"Vipevegen 7 A , 1929 AULI",Org. nr. 914 009 189,Økologisk landbruksproduksjon,Gyldig fra 04.03.2020 til 30.12.2021
182,Aune Arne Olav,"Aunvegen 165 , 7873 HARRAN",Org. nr. 880 491 482,Økologisk landbruksproduksjon,Gyldig fra 16.08.2020 til 30.12.2021
183,Aurbakken Honning v/ Arash Rayzan,"Elvefaret 30 , 0751 OSLO",Org. nr. 815 709 012,Økologisk landbruksproduksjon,Gyldig fra 13.09.2020 til 30.12.2021
184,Aurlien Bjørg Devik,"Devik 95 , 6828 HESTENESØYRA",Org. nr. 982 763 541,"Foredling, import og omsetning",Gyldig fra 23.11.2020 til 30.12.2021
185,Aurlien Ida,"Baklivegen 640 , 2625 FÅBERG",Org. nr. 925 652 547,Økologisk landbruksproduksjon,Gyldig fra 06.07.2020 til 30.12.2021
186,Aurstad Håvard,"Hollbruvegen 250 , 7711 STEINKJER",Org. nr. 988 101 133,Økologisk landbruksproduksjon,Gyldig fra 17.01.2021 til 30.12.2021
187,Austad Knut Grundeson,"Austad 199 , 4745 BYGLAND",Org. nr. 983 234 550,Økologisk landbruksproduksjon,Gyldig fra 03.02.2020 til 30.12.2021
188,Austad Skog AS,"Postboks 61 , 2480 KOPPANG",Org. nr. 989 397 389,Økologisk landbruksproduksjon,Gyldig fra 21.04.2020 til 30.12.2021
189,Austevoll Laksepakkeri AS,"Bjånesøyvegen 13 , 5392 STOREBØ",Org. nr. 996 646 734,"Foredling, import og omsetning",Gyldig fra 09.11.2020 til 30.12.2021
190,Austevoll Seaweed AS,"Risvikvegen 43 , 5384 TORANGSVÅG",Org. nr. 916 496 656,Økologisk akvakultur,Gyldig fra 27.05.2020 til 30.12.2021
191,Austevoll Villsau AS,"Søreide 12 , 5592 STOREBØ",Org. nr. 912 120 392,Økologisk landbruksproduksjon,Gyldig fra 09.12.2020 til 30.12.2021
192,Autentico AS,"Lysaker Torg 8 , 1366 LYSAKER",Org. nr. 997 417 666,"Foredling, import og omsetning",Gyldig fra 04.11.2020 til 30.12.2021
194,Automatpack A/S,"Postboks 64 Smestad , 0309 OSLO",Org. nr. 951 679 593,"Foredling, import og omsetning",Gyldig fra 21.10.2020 til 30.12.2021
195,Avd. 420 Pelagia Måløy Sildoljefabrikk,"Postboks 444 , 5805 BERGEN",Org. nr. 977 027 373,Økologisk akvakultur,Gyldig fra 21.10.2020 til 30.12.2021
196,Aviamedicus Ødegaard,"Ullershovvegen 45 , 2160 VORMSUND",Org. nr. 887 822 522,Økologisk landbruksproduksjon,Gyldig fra 21.10.2020 til 30.12.2021
197,Axel Andersen A/S,"Postboks 2308 Strømsø , 3045 DRAMMEN",Org. nr. 977 069 904,"Foredling, import og omsetning",Gyldig fra 29.09.2020 til 30.12.2021
198,B&R Wine AS,"Pb 123 , 1325 LYSAKER",Org. nr. 985 478 032,"Foredling, import og omsetning",Gyldig fra 31.03.2020 til 30.12.2021
199,Baadshaug Bjørn Egil,"Botshaug 22 , 2080 EIDSVOLL",Org. nr. 970 919 929,Økologisk landbruksproduksjon,Gyldig fra 02.06.2020 til 30.12.2021
200,Baalerud Jes Ole,"Bjønnåsveien 1 , 3623 LAMPELAND",Org. nr. 969 234 467,Økologisk landbruksproduksjon,Gyldig fra 29.04.2020 til 30.12.2021
201,Baarøy Jo Helge,"Brandangerveien 626 , 5960 DALSØYRA",Org. nr. 885 671 942,Økologisk landbruksproduksjon,Gyldig fra 19.04.2020 til 30.12.2021
202,Backe Fredrik Andre,"Undrumsdalvn. 627 , 3176 UNDRUMSDAL",Org. nr. 975 441 776,Økologisk landbruksproduksjon,Gyldig fra 25.11.2020 til 30.12.2021
203,Badendyck Dag Richard,"Andebuvn. 705 A , 3158 ANDEBU",Org. nr. 914 739 950,"Foredling, import og omsetning",Gyldig fra 13.08.2020 til 30.12.2021
204,Bærgården AS,"Bakkerudvn. 3 , 3410 SYLLING",Org. nr. 998 570 018,"Foredling, import og omsetning",Gyldig fra 14.09.2020 til 30.12.2021
205,Bærtur v/Bjørg Aarøe,"Vassåsveien 20 , 3090 HOF",Org. nr. 920 352 219,Økologisk landbruksproduksjon,Gyldig fra 01.11.2020 til 30.12.2021
206,Baglund Miriam,"Haugen Gård, Utsetveien 26 , 7247 HESTVIKA",Org. nr. 999 321 410,Økologisk landbruksproduksjon,Gyldig fra 07.10.2020 til 30.12.2021
207,Bakehuset A/S Møllhausen avd. Furuset,"Søren Bulls vei 27 , 1051 OSLO",Org. nr. 914 183 332,"Foredling, import og omsetning",Gyldig fra 05.05.2020 til 30.12.2021
208,Bakeriet AS,"Midtregt. 16 , 8624 MO I RANA",Org. nr. 948 134 926,"Foredling, import og omsetning",Gyldig fra 24.06.2020 til 30.12.2021
210,Bakeverket AS,"Postboks 54 , 1300 SANDVIKA",Org. nr. 922 126 191,"Foredling, import og omsetning",Gyldig fra 30.08.2020 til 30.12.2021
211,Bakke Hans Kristian,"Skiptvetveien 31 , 1593 SVINNDAL",Org. nr. 969 316 536,Økologisk landbruksproduksjon,Gyldig fra 30.08.2020 til 30.12.2021
212,Bakken Joar,"Bakkløkkja , 7298 BUDALEN",Org. nr. 996 340 430,Økologisk landbruksproduksjon,Gyldig fra 06.12.2020 til 30.12.2021
213,Bakken Jon Rune,"Kopparleden 7113 , 2555 TUFSINGDALEN",Org. nr. 880 432 702,Økologisk landbruksproduksjon,Gyldig fra 26.11.2020 til 30.12.2021
214,Bakken Kjetil,"Rosskarvegen 11 , 6080 GURSKØY",Org. nr. 960 094 034,Økologisk landbruksproduksjon,Gyldig fra 01.06.2020 til 30.12.2021
215,Bakken Nils Inge,"Bjørkåsen , 7298 BUDALEN",Org. nr. 986 066 659,Økologisk landbruksproduksjon,Gyldig fra 14.05.2020 til 30.12.2021
216,Bakken Olav,"Hodalen 177 , 2540 TOLGA",Org. nr. 969 106 604,Økologisk landbruksproduksjon,Gyldig fra 16.11.2020 til 30.12.2021
217,Bakken Ole Melvin,"Haugrandveien 13 , 7263 HAMARVIK",Org. nr. 969 636 921,Økologisk landbruksproduksjon,Gyldig fra 25.03.2020 til 30.12.2021
218,Bakken Vegar,"Rosskarvegen 11 , 6080 GURSKØY",Org. nr. 989 298 143,Økologisk landbruksproduksjon,Gyldig fra 10.08.2020 til 30.12.2021
219,Balestrand Samdrift SA v/Jon Asbjørn Målsnes,"Målsnes 11 , 6899 BALESTRAND",Org. nr. 991 126 783,Økologisk landbruksproduksjon,Gyldig fra 23.02.2020 til 30.12.2021
220,Balgaard Ola,"Bollgardsletta 290 , 7660 VUKU",Org. nr. 969 184 257,Økologisk landbruksproduksjon,Gyldig fra 08.09.2020 til 30.12.2021
221,Balholm AS,"Villavegen 14 , 6899 BALESTRAND",Org. nr. 990 555 060,"Foredling, import og omsetning",Gyldig fra 23.08.2020 til 30.12.2021
222,Ballestad Erik,"Tveit 357 , 4865 ÅMLI",Org. nr. 969 367 238,Økologisk landbruksproduksjon,Gyldig fra 09.11.2020 til 30.12.2021
223,Ballestad Erling,"Sveivdokvn. 1, Sveivdok gård , 3783 KRAGERØ SKJÆRGÅRDSRUTE",Org. nr. 918 739 297,Økologisk landbruksproduksjon,Gyldig fra 01.09.2020 til 30.12.2021
224,Bama Ålesund AS avd Storkjøkken,"Postboks 25 , 6037 EIDSNES",Org. nr. 973 099 876,"Foredling, import og omsetning",Gyldig fra 06.07.2020 til 30.12.2021
226,Bama Dagligvare AS avd Agder,"Vestre Kystvei 191 , 4790 LILLESAND",Org. nr. 995 518 015,"Foredling, import og omsetning",Gyldig fra 19.11.2020 til 30.12.2021
227,Bama Dagligvare AS avd FG Spesialisten,"Postboks 538 , 3412 LIERSTRANDA",Org. nr. 995 518 015,"Foredling, import og omsetning",Gyldig fra 19.11.2020 til 30.12.2021
228,Bama Dagligvare AS avd Hamar,"Skansvegen 5 , 2383 BRUMUNDDAL",Org. nr. 995 518 015,"Foredling, import og omsetning",Gyldig fra 11.05.2020 til 30.12.2021
229,Bama Dagligvare AS avd Larvik,"Hegdalsveien 87 , 3261 LARVIK",Org. nr. 995 518 015,"Foredling, import og omsetning",Gyldig fra 19.11.2020 til 30.12.2021
230,Bama Dagligvare AS avd. Bergen,"Postboks 270 Indre Arna , 5863 BERGEN",Org. nr. 995 518 015,"Foredling, import og omsetning",Gyldig fra 10.05.2020 til 30.12.2021
231,Bama Dagligvare AS avd. Oslo,"Postboks 266, Alnabru , 0614 OSLO",Org. nr. 995 518 015,"Foredling, import og omsetning",Gyldig fra 25.05.2020 til 30.12.2021
232,Bama Dagligvare AS avd. Østfold,"Delitoppen 4 , 1540 VESTBY",Org. nr. 995 518 015,"Foredling, import og omsetning",Gyldig fra 25.05.2020 til 30.12.2021
233,Bama Dagligvare AS avd. Stavanger,"Skurvemarka 21 , 4330 ÅLGÅRD",Org. nr. 995 518 015,"Foredling, import og omsetning",Gyldig fra 25.05.2020 til 30.12.2021
234,Bama Dagligvare AS avd. Trondheim,"Østre Rosten 104 , 7075 TILLER",Org. nr. 995 518 015,"Foredling, import og omsetning",Gyldig fra 25.05.2020 til 30.12.2021
235,Bama Gruppen AS - Bananmodneriet Rommen,"Østre Akervei 264 , 0977 OSLO",Org. nr. 914 224 314,"Foredling, import og omsetning",Gyldig fra 07.05.2020 til 30.12.2021
236,Bama Gruppen AS - Divisjon Trading,"Postboks 266, Alnabru , 0614 OSLO",Org. nr. 914 224 314,"Foredling, import og omsetning",Gyldig fra 03.03.2020 til 30.12.2021
237,Bama Industri AS avd Salater,"Terminalen 18 , 3414 LIERSTRANDA",Org. nr. 976 565 967,"Foredling, import og omsetning",Gyldig fra 29.11.2020 til 30.12.2021
238,Bama Industri AS avd Sentral Pakkeri,"Holmenveien 4 , 3402 LIER",Org. nr. 976 565 967,"Foredling, import og omsetning",Gyldig fra 21.09.2020 til 30.12.2021
239,Bama Industri AS avd. Moss,"Årvollskogen 60 , 1529 MOSS",Org. nr. 976 565 967,"Foredling, import og omsetning",Gyldig fra 22.09.2020 til 30.12.2021
240,Bama Storkjøkken AS avd Agder,"Vestre Kystvei 191 , 4790 LILLESAND",Org. nr. 996 376 109,"Foredling, import og omsetning",Gyldig fra 22.04.2020 til 30.12.2021
242,Bama Storkjøkken AS avd Bodø,"Klinkerveien 10 , 8006 BODØ",Org. nr. 995 518 333,"Foredling, import og omsetning",Gyldig fra 02.06.2020 til 30.12.2021
243,Bama Storkjøkken AS avd Sverre Johnsen,"Serviceboks , 7483 TRONDHEIM",Org. nr. 995 518 333,"Foredling, import og omsetning",Gyldig fra 02.06.2020 til 30.12.2021
244,Bama Storkjøkken AS avd Vestfold,"Borgeskogen 9 , 3160 STOKKE",Org. nr. 972 139 793,"Foredling, import og omsetning",Gyldig fra 12.10.2020 til 30.12.2021
245,Bama Storkjøkken AS avd. 115 Hamar,"Skansvegen 5 , 2383 BRUMUNDDAL",Org. nr. 995 518 333,"Foredling, import og omsetning",Gyldig fra 03.02.2020 til 30.12.2021
246,Bama Storkjøkken AS avd. Bergen,"C/O Asko Vest Magnusvegen 10 , 5262 ARNATVEIT",Org. nr. 995 518 333,"Foredling, import og omsetning",Gyldig fra 13.04.2020 til 30.12.2021
247,Bama Storkjøkken Oslo AS,"Postboks 263 Alnabru , 0614 OSLO",Org. nr. 936 966 802,"Foredling, import og omsetning",Gyldig fra 08.09.2020 til 30.12.2021
248,Bama Storkjøkken Stavanger,"Skurvemarka 21 , 4330 ÅLGÅRD",Org. nr. 995 518 333,"Foredling, import og omsetning",Gyldig fra 29.11.2020 til 30.12.2021
249,Bamsrud gård Kjell-Kristian Bamsrud,"Faugliveien 203 , 1850 MYSEN",Org. nr. 993 406 651,Økologisk landbruksproduksjon,Gyldig fra 11.02.2020 til 30.12.2021
250,BaRe Frukt & Grønt A/S,"Rødmyrlia 39 , 3735 SKIEN",Org. nr. 995 518 023,"Foredling, import og omsetning",Gyldig fra 27.04.2020 til 30.12.2021
251,BaRe Frukt & Grønt AS avd. Bergen,"Salhusvegen 54 , 5131 NYBORG",Org. nr. 995 518 023,"Foredling, import og omsetning",Gyldig fra 08.07.2020 til 30.12.2021
252,BaRe Frukt & Grønt AS avd. Molde,"Gammelseterlia 12 , 6422 MOLDE",Org. nr. 995 518 023,"Foredling, import og omsetning",Gyldig fra 10.05.2020 til 30.12.2021
253,BaRe Frukt & Grønt AS avd. Oslo,"Nedre Kaldbakkvei 40, Port E69 , 1081 OSLO",Org. nr. 995 518 023,"Foredling, import og omsetning",Gyldig fra 02.06.2020 til 30.12.2021
254,BaRe Frukt & Grønt AS avd. Rudshøgda,"Postboks 40 , 2360 RUDSHØGDA",Org. nr. 995 518 023,"Foredling, import og omsetning",Gyldig fra 07.05.2020 til 30.12.2021
255,BaRe Frukt & Grønt AS avd. Stavanger,"Koppholen 13 , 4313 SANDNES",Org. nr. 995 518 023,"Foredling, import og omsetning",Gyldig fra 25.05.2020 til 30.12.2021
256,"BaRe Frukt & Grønt AS, Avd. Vestby","Deliveien 4 , 1540 VESTBY",Org. nr. 995 518 023,"Foredling, import og omsetning",Gyldig fra 05.05.2020 til 30.12.2021
258,BaRe Frukt og Grønt as Avd. Kristiansand,"Mjåvannsvegen 204 , 4628 KRISTIANSAND",Org. nr. 995 518 023,"Foredling, import og omsetning",Gyldig fra 28.10.2020 til 30.12.2021
259,BaRe Nord AS avd. Mo i Rana,"Nordre gate 6 , 8622 MO I RANA",Org. nr. 966 114 223,"Foredling, import og omsetning",Gyldig fra 28.10.2020 til 30.12.2021
260,Bare Nord AS avd. Trondheim,"Sluppenveien 10 , 7037 TRONDHEIM",Org. nr. 966 114 223,"Foredling, import og omsetning",Gyldig fra 07.05.2020 til 30.12.2021
261,Bare Vare AS,"Farmannsveien 6a , 3111 TØNSBERG",Org. nr. 922 719 039,"Foredling, import og omsetning",Gyldig fra 19.11.2020 til 30.12.2021
262,Barilla Norge AS,"Postboks 4451 , 2326 HAMAR",Org. nr. 943 599 416,"Foredling, import og omsetning",Gyldig fra 29.01.2020 til 30.12.2021
263,Barlindbotn Settefisk AS lokalitet 13843 Barlindbotn,"Barlindbotn 261 , 6940 EIKEFJORD",Org. nr. 948 825 627,Økologisk akvakultur,Gyldig fra 07.05.2020 til 30.12.2021
264,Barnas Moa AS,"Gamle Kongeveg Nord 272 , 7609 LEVANGER",Org. nr. 913 084 578,Servering av økologisk mat og drikke,Gyldig fra 26.10.2020 til 30.12.2021
265,Barthel Henrik,"Ølvesvegen 1524 , 5637 ØLVE",Org. nr. 969 196 859,Økologisk landbruksproduksjon,Gyldig fra 06.10.2020 til 30.12.2021
266,Basthaugengard,"Øvre Mjøs 11 , 5939 SLETTA",Org. nr. 911 789 639,Økologisk landbruksproduksjon,Gyldig fra 04.11.2020 til 30.12.2021
267,Bastø Lenes Solveig,"Kirkebakken 7 , 3186 BORRE",Org. nr. 985 913 803,Økologisk landbruksproduksjon,Gyldig fra 30.03.2020 til 30.12.2021
268,Bastøy Fengsel,"Postboks 694, Dokumentsenteret , 4302 SANDNES",Org. nr. 974 702 835,Økologisk landbruksproduksjon,Gyldig fra 18.03.2020 til 30.12.2021
269,Båtstad Inger Kristin,"Romsdalsvn 1122 , 2665 LESJA",Org. nr. 970 042 121,Økologisk landbruksproduksjon,Gyldig fra 29.11.2020 til 30.12.2021
270,Baxt AS,"Hegdalringen 27 A , 3261 LARVIK",Org. nr. 875 877 712,"Foredling, import og omsetning",Gyldig fra 09.09.2020 til 30.12.2021
271,Becker Andreas Sandnes,"Bekkosveien 260 , 7372 GLÅMOS",Org. nr. 924 548 320,Økologisk landbruksproduksjon,Gyldig fra 03.08.2020 til 30.12.2021
272,Bedin Gisle Håvard,"Modalsveien 111 , 7100 RISSA",Org. nr. 994 789 279,Økologisk landbruksproduksjon,Gyldig fra 16.03.2020 til 30.12.2021
274,BeeGreen ANS,"Sørbråtveien 81 , 0891 OSLO",Org. nr. 970 146 539,Økologisk landbruksproduksjon,Gyldig fra 15.09.2020 til 30.12.2021
275,Been Monica,"Hobølvn. 185 , 1550 HØLEN",Org. nr. 995 498 510,"Foredling, import og omsetning",Gyldig fra 15.09.2020 til 30.12.2021
276,Behme Barbara,"Grønenga 15, Haugen Gård , 6913 FLORØ",Org. nr. 912 856 356,"Foredling, import og omsetning",Gyldig fra 10.12.2020 til 30.12.2021
277,Beitland Trond Olav,"Beitlandsvegen 182 , 7520 HEGRA",Org. nr. 995 147 157,"Foredling, import og omsetning",Gyldig fra 12.11.2020 til 30.12.2021
278,Beitnes Jon Tore og Ingeborg S.,"Fonbekkvegen 8 , 2056 ALGARHEIM",Org. nr. 969 100 347,Økologisk landbruksproduksjon,Gyldig fra 11.11.2020 til 30.12.2021
279,Belbo Helmer,"Belbuvegen 49 , 7760 SNÅSA",Org. nr. 912 834 093,Økologisk landbruksproduksjon,Gyldig fra 20.10.2020 til 30.12.2021
280,Belsheim Arne,"Liagardvegen 245 , 2973 RYFOSS",Org. nr. 969 251 191,Økologisk landbruksproduksjon,Gyldig fra 13.05.2020 til 30.12.2021
281,Benchmark Genetics Norway,"Sandviksboder 3 A , 5035 BERGEN",Org. nr. 983 506 925,Økologisk akvakultur,Gyldig fra 22.11.2020 til 30.12.2021
282,Bent Myhre Helsevett.no,"Leif Weldingsvei 4 , 3208 SANDEFJORD",Org. nr. 982 360 633,Økologisk landbruksproduksjon,Gyldig fra 03.05.2020 til 30.12.2021
283,Bente Kristiansens honningbier,"Valsøyveien 199 , 7167 VALLERSUND",Org. nr. 923 126 201,Økologisk landbruksproduksjon,Gyldig fra 19.04.2020 til 30.12.2021
284,Beredt AS (hovedkontor),"Nedre Nøtveit 12 , 5238 RÅDAL",Org. nr. 916 303 122,Servering av økologisk mat og drikke,Gyldig fra 16.11.2020 til 30.12.2021
285,Berg Bjørnar,"Bergsbakkan 72 , 7670 INDERØY",Org. nr. 912 254 518,Økologisk landbruksproduksjon,Gyldig fra 25.10.2020 til 30.12.2021
286,Berg Borge Martin,"Namsosveien 150 , 7724 STEINKJER",Org. nr. 969 256 339,Økologisk landbruksproduksjon,Gyldig fra 11.11.2020 til 30.12.2021
287,Berg Geir Magne,"Gaustadnesvegen 75 , 6494 VEVANG",Org. nr. 986 012 451,Økologisk landbruksproduksjon,Gyldig fra 30.08.2020 til 30.12.2021
288,Berg Harald,"Vestre Totenv. 1690 , 2846 BØVERBRU",Org. nr. 981 481 623,Økologisk landbruksproduksjon,Gyldig fra 05.07.2020 til 30.12.2021
290,Berg Kåre Johnny,"Østsideveien 639 , 3277 STEINSHOLT",Org. nr. 969 923 130,Økologisk landbruksproduksjon,Gyldig fra 26.11.2020 til 30.12.2021
291,Berg Niklos Knutson,"Uppstadvn 90 , 4748 RYSSTAD",Org. nr. 918 345 000,Økologisk landbruksproduksjon,Gyldig fra 26.11.2020 til 30.12.2021
292,Berg Øivind,"Myrvoldvn. 203 , 1930 AURSKOG",Org. nr. 969 337 487,Økologisk landbruksproduksjon,Gyldig fra 08.12.2020 til 30.12.2021
293,Berg Ole Henrik,"Lindsholmveien 94 , 3275 SVARSTAD",Org. nr. 992 880 481,Økologisk landbruksproduksjon,Gyldig fra 12.05.2020 til 30.12.2021
294,Berg Torkild Stene,"Hyllivn. 8 , 1820 SPYDEBERG",Org. nr. 969 091 909,Økologisk landbruksproduksjon,Gyldig fra 09.12.2020 til 30.12.2021
295,Berg Viggo,"Evenesveien 81 , 8534 TÅRSTAD",Org. nr. 925 165 565,Økologisk landbruksproduksjon,Gyldig fra 17.02.2020 til 30.12.2021
296,Berge Eirik,"Klukkargardsvegen 95 , 2975 VANG I VALDRES",Org. nr. 997 395 557,Økologisk landbruksproduksjon,Gyldig fra 24.11.2020 til 30.12.2021
297,Berge Hellek M.,"Hørtevegen 321 , 3810 GVARV",Org. nr. 971 205 849,"Foredling, import og omsetning",Gyldig fra 02.07.2020 til 30.12.2021
298,Berge Leif Trygve og Kjersti,"Ølvesvegen 714 , 5637 ØLVE",Org. nr. 969 140 853,Økologisk landbruksproduksjon,Gyldig fra 18.11.2020 til 30.12.2021
299,Bergen Børs Hotel AS,"Vågsalmenningen 2 , 5014 BERGEN",Org. nr. 916 205 848,Servering av økologisk mat og drikke,Gyldig fra 11.11.2020 til 30.12.2021
300,Bergerud Kristine,"Varteigveien 575 , 1735 VARTEIG",Org. nr. 987 372 907,Økologisk landbruksproduksjon,Gyldig fra 06.10.2020 til 30.12.2021
301,Berget Dagfinn Arvid,"Skaugdalsveien 2842 , 7100 RISSA",Org. nr. 969 259 370,Økologisk landbruksproduksjon,Gyldig fra 16.09.2020 til 30.12.2021
302,Bergheim Anne Heidi og Arne Eskild,"Hennungvegen 112 , 2760 BRANDBU",Org. nr. 997 173 201,Økologisk landbruksproduksjon,Gyldig fra 09.12.2020 til 30.12.2021
303,Bergland Olav,"Bingsveien 398 , 3330 SKOTSELV",Org. nr. 921 011 822,Økologisk landbruksproduksjon,Gyldig fra 14.05.2020 til 30.12.2021
304,Berglien Gård,"Furuknappen 172 , 2415 HERADSBYGD",Org. nr. 984 841 981,Økologisk landbruksproduksjon,Gyldig fra 14.05.2020 til 30.12.2021
306,Bergseng Bondegårds-barnehage,"Brurbakkvegen 34 , 2760 BRANDBU",Org. nr. 971 305 576,"Foredling, import og omsetning",Gyldig fra 07.09.2020 til 30.12.2021
308,Bergseth Anna Andrea,"Krundalen 541 , 6871 JOSTEDAL",Org. nr. 977 350 239,Økologisk landbruksproduksjon,Gyldig fra 07.09.2020 til 30.12.2021
309,Bergum Agnete Sivertsen og Tore,"Fjordavegen 3610 , 5777 GRIMO",Org. nr. 888 507 442,"Foredling, import og omsetning",Gyldig fra 14.09.2020 til 30.12.2021
310,Berit Nordstrand Smarte Nytelser,"Postboks 1542 Vika , 0117 OSLO",Org. nr. 916 755 864,"Foredling, import og omsetning",Gyldig fra 15.06.2020 til 30.12.2021
311,Bernh. Botolfsen Import A/S,"Postboks 242 Økern , 0510 OSLO",Org. nr. 922 063 613,"Foredling, import og omsetning",Gyldig fra 06.07.2020 til 30.12.2021
312,Berre Iver Martin,"Namsosvegen 3185 , 7750 NAMDALSEID",Org. nr. 986 338 594,Økologisk landbruksproduksjon,Gyldig fra 05.05.2020 til 30.12.2021
313,Bessungen økologiske kulturbarnehage Bessungen AS,"Buskerudvn. 142 , 3027 DRAMMEN",Org. nr. 891 401 752,Servering av økologisk mat og drikke,Gyldig fra 03.02.2020 til 30.12.2021
314,Bettum Trond Kristian,"Horntvedtvn. 93 , 3160 STOKKE",Org. nr. 983 773 834,Økologisk landbruksproduksjon,Gyldig fra 30.03.2020 til 30.12.2021
315,Beverage Partners Norway AS,"Sørkedalsveien 10B , 0369 OSLO",Org. nr. 967 112 666,"Foredling, import og omsetning",Gyldig fra 06.07.2020 til 30.12.2021
316,Bing-Jacobsen Fauske Camilla Irene,"Holtebygdveien 192 , 3282 KVELDE",Org. nr. 996 468 143,Økologisk landbruksproduksjon,Gyldig fra 08.06.2020 til 30.12.2021
317,Biodivercity Development v/ Dag Sæther,"Foldavn. 427 , 7985 FOLDEREID",Org. nr. 970 391 576,Økologisk landbruksproduksjon,Gyldig fra 22.11.2020 til 30.12.2021
318,Biofedora AB,"Skogveien 67 , 1368 STABEKK",Org. nr. 556 898 897 5,"Foredling, import og omsetning",Gyldig fra 10.12.2020 til 30.12.2021
319,Bioking AS,"PB 23 , 2091 HURDAL",Org. nr. 998 930 073,"Foredling, import og omsetning",Gyldig fra 01.06.2020 til 30.12.2021
320,BioMar as,"Husøyvegen 285 , 4262 AVALDSNES",Org. nr. 937 843 860,"Foredling, import og omsetning",Gyldig fra 07.06.2020 til 30.12.2021
321,Bionorde AS,"Toppasvn. 59 B , 1262 OSLO",Org. nr. 814 020 452,"Foredling, import og omsetning",Gyldig fra 19.11.2020 til 30.12.2021
323,Biopharma AS,"Postboks 85 , 1662 ROLVSØY",Org. nr. 981 712 315,"Foredling, import og omsetning",Gyldig fra 29.03.2020 til 30.12.2021
324,Biosa Norge AS,"Maarudvegen 124 , 2114 DISENÅ",Org. nr. 983 725 902,"Foredling, import og omsetning",Gyldig fra 29.03.2020 til 30.12.2021
325,Biri Gårdsmeieri AS,"Øverbygdsvn 188 , 2836 BIRI",Org. nr. 924 045 493,"Foredling, import og omsetning",Gyldig fra 30.11.2020 til 30.12.2021
